name	address	city	area	averagePriceUnit	averagePrice	buildingTime	propertyFee	propertyCompany	developerName	roomAmount	buildingAmount	volumeRate	greeningRate
世纪之门	江宁路1415弄	上海	普陀	元/平	69961	2001年建	暂无信息	暂无信息	暂无信息	1460户	38栋	2.5	30.0%
祥腾生活广场	淞发路901弄	上海	宝山	元/平	31817	2009年建	暂无信息	暂无信息	暂无信息	483户	9栋	2.3	42.0%
田林十一村	田林十一村	上海	徐汇	元/平	71738	1988年建	暂无信息	暂无信息	暂无信息	1605户	56栋	1.0	29.0%
凯旋一村	凯旋一村,塘子泾124-126号	上海	徐汇	元/平	87423	1990年建	暂无信息	暂无信息	暂无信息	912户	40栋	1.6	25.0%
源达大厦	长寿路360号	上海	普陀	元/平	38641	2012年建	暂无信息	暂无信息	暂无信息	398户	2栋	1.8	10.0%
城市名园	包头路1150弄	上海	杨浦	元/平	50686	2005年建	暂无信息	暂无信息	暂无信息	2200户	32栋	1.85	35.0%
泰欣嘉园	光复西路133弄	上海	普陀	元/平	85954	2010年建	暂无信息	暂无信息	暂无信息	1000户	23栋	2.5	46.0%
安居古浪新苑	祁安路88弄,古浪路518弄	上海	普陀	元/平	43050	2008年建	暂无信息	暂无信息	暂无信息	3568户	198栋	3.1	30.0%
城市方园	国伟路100弄	上海	杨浦	元/平	47143	2011年建	暂无信息	暂无信息	暂无信息	1468户	11栋	2.5	30.0%
合生江湾国际公寓	政和路999弄	上海	杨浦	元/平	67624	2012年建	暂无信息	暂无信息	暂无信息	2300户	76栋	1.6	40.0%
圣天地酒店式公寓	江宁路1145弄	上海	普陀	元/平	70049	2004年建	暂无信息	暂无信息	暂无信息	1051户	3栋	1.7	34.0%
曹杨二村	曹杨路1107弄,曹杨二村	上海	普陀	元/平	55514	1994年建	暂无信息	暂无信息	暂无信息	5036户	213栋	3.6	30.0%
林绿家园	四平路1950弄	上海	杨浦	元/平	66563	2010年建	暂无信息	暂无信息	暂无信息	1539户	69栋	2.3	30.0%
天山怡景苑	威宁路511弄	上海	长宁	元/平	81110	2009年建	暂无信息	暂无信息	暂无信息	1465户	37栋	2.2	42.0%
爱都公寓	虹桥路2222弄55号	上海	长宁	元/平	65857	1995年建	暂无信息	暂无信息	暂无信息	120户	5栋	2.2	30.0%
控江四村	松花江路977弄	上海	杨浦	元/平	46628	2008年建	暂无信息	暂无信息	暂无信息	4096户	180栋	2.1	38.0%
古北嘉年华庭	黄金城道258弄（北区）,黄金城道259弄（南区）	上海	长宁	元/平	88979	2005年建	暂无信息	暂无信息	暂无信息	707户	18栋	1.9	52.0%
虹桥豪苑	紫云路118弄	上海	长宁	元/平	80512	2006年建	暂无信息	暂无信息	暂无信息	740户	9栋	3.7	35.0%
绿庭尚城	涞寅路658弄	上海	松江	元/平	38886	2013年建	暂无信息	暂无信息	暂无信息	3858户	88栋	1.99	42.0%
知雅汇（公寓）	涞坊路333弄	上海	松江	元/平	34754	2006年建	暂无信息	暂无信息	暂无信息	2447户	154栋	1.4	35.0%
万达城市公寓	鹤友路336弄	上海	嘉定	元/平	45230	2011年建	暂无信息	暂无信息	暂无信息	1336户	49栋	2.5	36.0%
三盛颐景园（公寓）	涞亭南路888弄	上海	松江	元/平	33412	2008年建	暂无信息	暂无信息	暂无信息	2877户	251栋	1.08	60.0%
旭辉U天地	宝翔路158弄	上海	嘉定	元/平	30497	2014年建	暂无信息	暂无信息	暂无信息	999户	13栋	0.0	0.0%
铂悦818	叶城路818号	上海	嘉定	元/平	19679	2011年建	暂无信息	暂无信息	暂无信息	346户	2栋	2.8	22.0%
龙湖郦城	云屏路88弄,双单路1509弄,云屏路188弄	上海	嘉定	元/平	29233	2012年建	暂无信息	暂无信息	暂无信息	1905户	25栋	1.44	35.0%
马陆包装城	宝安公路3705弄	上海	嘉定	元/平	15189	2005年建	暂无信息	暂无信息	暂无信息	2163户	286栋	0.0	0.0%
合景峰汇	天祝路555弄	上海	嘉定	元/平	20749	2013年建	暂无信息	暂无信息	暂无信息	2162户	20栋	3.0	20.0%
万科红人馆	仓华路675弄	上海	松江	元/平	21521	2013年建	暂无信息	暂无信息	暂无信息	216户	18栋	1.6	35.0%
锋尚99	茸平路515弄	上海	松江	元/平	21926	2012年建	暂无信息	暂无信息	暂无信息	746户	6栋	2.25	40.0%
融创滨江壹号院	中山南一路500弄	上海	黄浦	元/平	92215	2012年建	暂无信息	暂无信息	暂无信息	1024户	12栋	4.0	35.0%
华润外滩九里	毛家园路88弄	上海	黄浦	元/平	118584	2011年建	暂无信息	暂无信息	暂无信息	540户	11栋	3.1	40.0%
黄浦众鑫城	西藏南路555弄	上海	黄浦	元/平	94749	2004年建	暂无信息	暂无信息	暂无信息	535户	7栋	4.4	35.0%
翠湖天地嘉苑	黄陂南路506弄	上海	黄浦	元/平	123181	2010年建	暂无信息	暂无信息	暂无信息	457户	12栋	0.0	0.0%
